module,method,uri,name,action
Accounting/Finance,GET|HEAD,admin/accounting/reports/balance-sheet,accounting.reports.balance-sheet,"App\Http\Controllers\Accounting\AccountingReportController@balanceSheet"
Accounting/Finance,GET|HEAD,admin/accounting/reports/balance-sheet/pdf,accounting.reports.balance-sheet.pdf,"App\Http\Controllers\Accounting\AccountingReportController@balanceSheetPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/balance-sheet/print,accounting.reports.balance-sheet.print,"App\Http\Controllers\Accounting\AccountingReportController@balanceSheetPrint"
Accounting/Finance,GET|HEAD,admin/accounting/reports/bank-book,accounting.reports.bank-book,"App\Http\Controllers\Accounting\AccountingReportController@bankBook"
Accounting/Finance,GET|HEAD,admin/accounting/reports/bank-book/pdf,accounting.reports.bank-book.pdf,"App\Http\Controllers\Accounting\AccountingReportController@bankBookPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/bank-book/print,accounting.reports.bank-book.print,"App\Http\Controllers\Accounting\AccountingReportController@bankBookPrint"
Accounting/Finance,GET|HEAD,admin/accounting/reports/cash-book,accounting.reports.cash-book,"App\Http\Controllers\Accounting\AccountingReportController@cashBook"
Accounting/Finance,GET|HEAD,admin/accounting/reports/cash-book/pdf,accounting.reports.cash-book.pdf,"App\Http\Controllers\Accounting\AccountingReportController@cashBookPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/cash-book/print,accounting.reports.cash-book.print,"App\Http\Controllers\Accounting\AccountingReportController@cashBookPrint"
Accounting/Finance,GET|HEAD,admin/accounting/reports/day-book,accounting.reports.day-book,"App\Http\Controllers\Accounting\AccountingReportController@dayBook"
Accounting/Finance,GET|HEAD,admin/accounting/reports/day-book/pdf,accounting.reports.day-book.pdf,"App\Http\Controllers\Accounting\AccountingReportController@dayBookPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/day-book/print,accounting.reports.day-book.print,"App\Http\Controllers\Accounting\AccountingReportController@dayBookPrint"
Accounting/Finance,GET|HEAD,admin/accounting/reports/financial-statements,accounting.reports.financial-statements,"App\Http\Controllers\Accounting\AccountingReportController@financialStatements"
Accounting/Finance,GET|HEAD,admin/accounting/reports/financial-statements/pdf,accounting.reports.financial-statements.pdf,"App\Http\Controllers\Accounting\AccountingReportController@financialStatementsPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/financial-statements/print,accounting.reports.financial-statements.print,"App\Http\Controllers\Accounting\AccountingReportController@financialStatementsPrint"
Accounting/Finance,GET|HEAD,admin/accounting/reports/hub,accounting.reports.hub,"App\Http\Controllers\Accounting\AccountingReportController@hub"
Accounting/Finance,GET|HEAD,admin/accounting/reports/management-pack,accounting.reports.management-pack,"App\Http\Controllers\Accounting\AccountingReportController@managementPack"
Accounting/Finance,GET|HEAD,admin/accounting/reports/payables-aging,accounting.reports.payables-aging,"App\Http\Controllers\Accounting\AccountingReportController@payablesAging"
Accounting/Finance,GET|HEAD,admin/accounting/reports/payables-aging/pdf,accounting.reports.payables-aging.pdf,"App\Http\Controllers\Accounting\AccountingReportController@payablesAgingPdf"
Accounting/Finance,GET|HEAD,admin/accounting/reports/payables-aging/print,accounting.reports.payables-aging.print,"App\Http\Controllers\Accounting\AccountingReportController@payablesAgingPrint"
